Year,False Video,True Video,Total
2006,11282,0,11282
2007,12584,0,12584
2008,10891,0,10891
2009,12219,0,12219
2010,9808,0,9808
2011,8305,0,8305
2012,5596,87,5683
2013,8543,403,8946
2014,6820,537,7357
2015,6729,1335,8064
2016,5818,1838,7656
2017,5277,1953,7230
2018,4984,2965,7949
2019,5102,5560,10662
2020,724,1168,1892
